ECU,Ecuador,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Online service,3-5 days,200,5,500,3,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Uniteller,Money Transfer Operator,Cash to cash,Less than one hour,200,5,500,5,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Western Union,Money Transfer Operator,Cash to cash,Less than one hour,200,5,500,5,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Xoom,Money Transfer Operator,Credit/debit card service,Same day,200,5.5,500,4.8,,26/Jan/2011,USAECU
ECU,Ecuador,Latin America & Caribbean,Upper middle income,MoneyGram,Money Transfer Operator,Online service,Less than one hour,200,7,500,6.2,,26/Jan/2011,USAECU
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Wells Fargo,Bank,Account to cash,Same day,200,0,500,0,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Casa de cambio Delgado,Money Transfer Operator,Cash to cash,Same day,200,2.5,500,2.5,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,La Nacional,Money Transfer Operator,Cash to cash,Same day,200,2.5,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Bancuscatlan,Money Transfer Operator,Cash to cash,Same day,200,3,500,2.4,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Wells Fargo,Bank,Account to cash,Same day,200,3.25,500,1.3,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Alante Financial,Money Transfer Operator,Cash to cash,Same day,200,3.5,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Ria,Money Transfer Operator,Cash to cash,Less than one hour,200,4,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Wells Fargo,Bank,Account to cash,Same day,200,4,500,1.6,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Banco Agricola,Bank,Cash to cash,Less than one hour,200,4.5,500,1.8,,27/Jan/2011,USASLV
